,brand,model,vehicle_age,km_driven,fuel_type,transmission_type,mileage,engine,max_power,seats,Owner_type,selling_price
3176,Maruti,Swift Dzire,13,78000,Petrol,Manual,17.5,1298,85.8,5,2,250000
3177,Maruti,Eeco,6,8403,Petrol,Manual,15.37,1196,73.0,5,3,345000
3178,Honda,City,6,95000,Diesel,Manual,25.1,1498,98.6,5,2,600000
3179,Maruti,Ertiga,4,73338,CNG,Manual,17.5,1373,80.46,7,2,800000
3180,Honda,City,2,11000,Petrol,Manual,17.0,1497,118.0,5,1,755000
3181,Renault,KWID,5,19000,Petrol,Manual,22.3,799,53.26,5,1,324000
3182,Maruti,Baleno,2,12705,Petrol,Manual,21.01,1197,81.8,5,1,775000
3184,Hyundai,i20,9,32000,Petrol,Manual,18.5,1197,80.0,5,2,350000
3185,Hyundai,i10,10,58000,Petrol,Manual,20.36,1197,78.9,5,2,270000
3186,Renault,Duster,3,18500,Petrol,Manual,14.19,1498,104.5,5,2,730000
3188,Mahindra,Scorpio,6,70000,Diesel,Manual,15.4,1997,120.0,7,1,1250000
3189,Hyundai,i20,7,42000,Petrol,Manual,18.6,1197,81.83,5,2,485000
3190,Ford,Figo,11,76400,Diesel,Manual,20.0,1399,68.0,5,2,221000
3191,Maruti,Ertiga,7,48148,Diesel,Manual,20.77,1248,88.76,7,3,750000
3193,Volkswagen,Polo,7,62051,Diesel,Manual,20.14,1498,88.8,5,1,435000
3194,Maruti,Eeco,11,35000,Petrol,Manual,16.11,1196,72.42,5,2,250000
3196,Volkswagen,Polo,7,68000,Diesel,Manual,15.11,1598,103.6,5,2,485000
3197,Maruti,Swift Dzire,8,10000,Petrol,Manual,19.1,1197,85.8,5,2,475000
3198,Maruti,Ciaz,6,20000,Petrol,Manual,20.73,1373,91.1,5,2,700000
3199,Ford,Figo,5,14000,Petrol,Manual,18.16,1196,86.8,5,2,540000
3200,Honda,Amaze,7,90000,Diesel,Manual,25.8,1498,98.6,5,1,375000
3201,Honda,City,14,77034,Petrol,Manual,16.9,1497,100.0,5,2,230000
3206,Renault,KWID,5,21200,Petrol,Manual,22.3,799,53.26,5,1,345000
3207,Maruti,Wagon R,3,50000,CNG,Manual,26.6,998,58.16,5,1,434000
3208,Hyundai,i20,11,36704,Petrol,Manual,18.6,1197,81.83,5,1,280000
3210,Maruti,Baleno,4,35092,Petrol,Manual,21.01,1197,81.8,5,2,545000
3212,Hyundai,Verna,7,41000,Petrol,Manual,17.01,1591,121.3,5,1,559000
3215,Maruti,Ertiga,4,45000,Petrol,Manual,17.5,1373,91.1,7,1,760000
3216,Honda,Amaze,2,2277,Petrol,Automatic,15.5,1198,86.7,5,1,800000
3217,Honda,City,18,40000,Petrol,Manual,13.0,1493,100.0,0,1,115000
3218,Maruti,Swift,10,40000,Diesel,Manual,22.9,1248,74.0,5,3,300000
3219,Maruti,Swift,5,8000,Petrol,Manual,22.0,1197,81.8,5,2,475000
3220,Skoda,Octavia,6,35000,Diesel,Automatic,19.3,1968,141.0,5,1,1425000
3221,Honda,WR-V,4,40011,Diesel,Manual,25.5,1498,98.6,5,2,799000
3223,Volkswagen,Vento,5,110000,Diesel,Automatic,22.15,1498,108.6,5,1,650000
3225,Volkswagen,Vento,6,37782,Petrol,Automatic,16.93,1197,103.2,5,2,555000
3227,Hyundai,i20,10,68000,Diesel,Manual,23.0,1396,90.0,5,2,325000
3228,Ford,Figo,5,41001,Petrol,Manual,18.16,1196,86.8,5,2,450000
3229,Ford,Figo,10,66000,Diesel,Manual,20.0,1399,68.05,5,1,255000
3230,Maruti,Swift Dzire,6,67000,Petrol,Manual,20.85,1197,83.14,5,2,575000
3231,Maruti,Ertiga,4,84900,Petrol,Manual,17.5,1373,91.1,7,2,800000
3232,Skoda,Rapid,7,59000,Diesel,Manual,20.5,1598,103.5,5,1,475000
3235,Maruti,Wagon R,5,23000,Petrol,Automatic,20.52,1197,81.8,5,1,430000
3236,Hyundai,Grand,6,23000,Petrol,Manual,18.9,1197,82.0,5,1,525000
3237,Maruti,Alto,9,17000,Petrol,Manual,20.92,998,67.1,5,2,180000
3238,Maruti,Baleno,4,26000,Petrol,Automatic,21.4,1197,83.1,5,2,850000
3239,Volkswagen,Vento,6,80900,Diesel,Automatic,22.15,1498,108.6,5,1,710000
3240,Volkswagen,Polo,10,70250,Diesel,Manual,22.07,1199,73.9,5,2,299000
3241,Hyundai,Verna,4,49000,Diesel,Manual,23.9,1582,126.2,5,2,949000
3245,Maruti,Wagon R,11,28000,Petrol,Manual,14.0,1061,64.0,5,2,250000
3246,Tata,Nexon,3,27000,Diesel,Manual,21.5,1497,108.5,5,3,751000
3248,Honda,City,11,77250,Petrol,Automatic,16.8,1497,118.0,5,3,349000
3250,Maruti,Eeco,7,39000,CNG,Manual,21.94,1196,61.7,5,2,365000
3251,Volkswagen,Polo,5,60000,Petrol,Automatic,17.21,1197,103.5,5,2,690000
3252,Ford,Ecosport,5,40003,Petrol,Automatic,14.7,1496,120.69,5,1,670000
3253,Maruti,Alto,3,40737,Petrol,Manual,22.74,796,47.3,5,1,325000
3254,Hyundai,Elantra,7,120000,Diesel,Automatic,19.5,1582,126.24,5,1,900000
3255,Honda,City,5,50000,Diesel,Manual,26.0,1498,98.6,5,2,850000
3256,Hyundai,Grand,5,70000,Diesel,Manual,24.0,1120,70.0,5,1,450000
3257,Maruti,Ciaz,3,17000,Diesel,Manual,28.09,1248,88.5,5,1,900000
3258,Hyundai,i20,5,59000,Petrol,Manual,18.6,1197,81.83,5,1,650000
3259,Maruti,Ciaz,4,43000,Diesel,Manual,28.09,1248,88.5,5,1,850000
3260,Ford,Ecosport,7,50250,Petrol,Automatic,16.5,1499,110.0,5,1,621000
3261,Maruti,Ciaz,3,23150,Petrol,Manual,20.73,1373,91.1,5,2,775000
3262,Maruti,Swift,6,19000,Petrol,Manual,18.6,1197,85.8,5,1,511000
3263,Mahindra,Bolero,7,45000,Diesel,Manual,16.5,1493,70.0,7,2,635000
3264,Maruti,Vitara,2,37095,Diesel,Manual,24.3,1248,88.5,5,2,895000
3265,Hyundai,i20,6,45235,Petrol,Manual,18.6,1197,81.83,5,1,630000
3266,Volkswagen,Vento,4,31700,Diesel,Automatic,22.15,1498,108.6,5,2,900000
3267,Maruti,Ertiga,3,24812,Diesel,Manual,25.47,1248,88.5,7,1,950000
3269,Maruti,Eeco,6,62000,CNG,Manual,15.1,1196,73.0,5,2,295000
3270,Hyundai,Verna,5,75000,Diesel,Automatic,19.08,1582,126.2,5,2,650000
3271,Maruti,Swift,2,10000,Petrol,Manual,21.21,1197,81.8,5,1,600000
3273,Maruti,Alto,12,22000,Petrol,Manual,19.7,796,46.3,5,2,140000
3274,Honda,City,6,78000,Diesel,Manual,26.0,1498,98.6,5,3,651000
3275,Hyundai,Verna,8,14000,Petrol,Automatic,17.01,1591,121.4,5,2,575000
3276,Honda,City,5,32302,Petrol,Automatic,18.0,1497,117.3,5,2,875000
3277,Maruti,Swift Dzire,6,46023,Diesel,Manual,26.59,1248,74.0,5,1,575000
3278,Maruti,Ertiga,4,28596,Petrol,Manual,17.5,1373,91.1,7,2,775000
3279,Maruti,Swift,10,54688,Petrol,Manual,16.1,1197,85.0,5,1,300000
3280,Maruti,Ciaz,6,64000,Diesel,Manual,28.09,1248,88.5,5,2,695000
3281,Maruti,Swift Dzire,3,46000,Diesel,Manual,28.4,1248,74.02,5,2,750000
3282,Maruti,Swift,15,82000,Petrol,Manual,16.1,1298,88.2,5,1,205000
3283,Honda,City,5,21715,Petrol,Manual,17.8,1497,117.3,5,3,760000
3284,Toyota,Yaris,3,12617,Petrol,Manual,17.1,1496,105.5,5,1,900000
3288,Hyundai,i10,11,35000,Petrol,Manual,20.36,1197,78.9,5,3,235000
3289,Honda,Civic,14,71000,Petrol,Automatic,12.9,1799,130.0,5,3,225000
3290,Honda,City,4,24000,Petrol,Automatic,18.0,1497,117.6,5,3,875000
3291,Hyundai,i20,8,39000,Petrol,Manual,17.0,1197,80.0,5,1,395000
3293,Honda,City,6,53000,Petrol,Manual,17.4,1497,117.3,5,2,610000
3294,Maruti,Vitara,2,21000,Diesel,Automatic,24.3,1248,88.5,5,2,1111000
3295,Maruti,Alto,11,11000,CNG,Manual,26.83,796,38.4,5,1,185000
3297,Maruti,Celerio,7,76000,Petrol,Manual,23.1,998,67.04,5,1,325000
3298,Hyundai,Verna,4,45000,Diesel,Manual,22.0,1582,126.2,5,2,1050000
3299,Hyundai,Grand,2,16000,Petrol,Automatic,18.9,1197,81.86,5,1,575000
3301,Skoda,Superb,6,34000,Petrol,Automatic,13.7,1798,157.75,5,2,1160000
3303,Hyundai,i20,3,27000,Petrol,Manual,18.6,1197,81.83,5,2,625000
3304,Volkswagen,Polo,9,96000,Diesel,Manual,22.07,1199,73.9,5,1,300000
3305,Hyundai,i20,5,65000,Diesel,Manual,22.54,1396,88.73,5,2,675000
3306,Honda,City,10,45000,Petrol,Manual,17.0,1497,118.0,5,1,365000
3307,Maruti,Wagon R,8,50000,Petrol,Manual,20.51,998,67.04,5,2,292000
3308,Maruti,Alto,6,20000,Petrol,Manual,23.95,998,67.05,5,2,300000
3309,Mahindra,KUV,5,30000,Diesel,Manual,25.32,1198,77.0,6,2,450000
3310,Honda,City,13,40000,Petrol,Automatic,16.8,1497,116.4,5,1,375000
3311,Hyundai,i20,8,27000,Petrol,Manual,18.5,1197,82.85,5,3,425000
3312,Tata,Nexon,3,16000,Diesel,Manual,21.5,1497,108.5,5,2,835000
3313,Hyundai,i20,8,40000,Petrol,Manual,17.0,1197,80.0,5,1,395000
3314,Renault,KWID,1,5000,Petrol,Automatic,24.04,999,67.0,5,2,400000
3315,Maruti,Alto,5,29000,Petrol,Manual,22.74,796,47.3,5,1,285000
3316,Skoda,Superb,6,35000,Petrol,Automatic,13.7,1798,157.75,5,1,1150000
3317,Maruti,Swift,4,30000,Petrol,Manual,22.0,1197,81.8,5,2,520000
3319,Maruti,Swift Dzire,8,79000,Diesel,Manual,23.4,1248,74.0,5,2,486000
3320,Maruti,Swift Dzire,13,40578,Diesel,Manual,19.3,1248,73.9,5,2,280000
3321,Maruti,Swift,9,60000,Diesel,Manual,22.9,1248,74.0,5,3,475000
3323,Volkswagen,Polo,5,110000,Diesel,Manual,20.14,1498,88.7,5,2,550000
3324,Hyundai,Verna,9,66657,Diesel,Manual,22.32,1582,126.32,5,1,549000
3326,Hyundai,i20,10,35000,Petrol,Manual,17.0,1197,80.0,5,2,375000
3327,Maruti,Swift,2,5000,Petrol,Manual,21.21,1197,81.8,5,2,610000
3328,Honda,City,6,70000,Diesel,Manual,26.0,1498,98.6,5,1,650000
3329,Honda,Jazz,6,19570,Petrol,Manual,18.7,1199,88.7,5,2,560000
3330,Renault,Duster,6,37639,Diesel,Manual,19.87,1461,83.8,5,2,625000
3331,BMW,3,10,63000,Diesel,Automatic,13.2,1995,170.0,5,2,995000
3332,Honda,City,7,74000,Diesel,Manual,26.0,1498,98.6,5,2,590000
3333,Maruti,Ertiga,7,40000,CNG,Manual,17.5,1373,80.46,7,2,600000
3334,Hyundai,i10,12,73000,Petrol,Manual,20.36,1197,78.9,5,2,190000
3335,Maruti,Swift Dzire,3,26750,Diesel,Manual,28.4,1248,74.02,5,3,911000
3336,Hyundai,Santro,13,66403,Petrol,Manual,17.92,1086,62.1,5,1,185000
3337,Honda,WR-V,3,33000,Diesel,Manual,25.5,1498,98.6,5,3,890000
3338,Volkswagen,Vento,5,73172,Diesel,Automatic,22.15,1498,108.6,5,1,725000
3339,Maruti,Ertiga,5,50000,CNG,Manual,17.5,1373,80.46,7,1,700000
3340,Maruti,Ertiga,5,57246,Diesel,Manual,25.47,1248,88.5,7,1,850000
3341,Maruti,Swift,4,10000,Petrol,Manual,21.21,1197,81.8,5,1,550000
3343,Hyundai,i20,11,81000,Petrol,Manual,18.5,1197,80.0,5,1,260000
3344,Hyundai,Creta,3,62000,Diesel,Manual,22.1,1396,88.7,5,3,925000
3345,Maruti,Wagon R,14,68128,LPG,Manual,17.3,1061,57.5,5,1,148000
3347,Honda,Jazz,5,71400,Diesel,Manual,27.3,1498,98.6,5,1,630000
3348,Maruti,Eeco,7,63000,Petrol,Manual,15.37,1196,73.0,5,1,315000
3349,Maruti,Ertiga,9,120000,Diesel,Manual,20.77,1248,88.76,7,2,450000
3351,Mercedes-Benz,C-Class,10,75000,Diesel,Automatic,14.84,2143,170.0,5,2,675000
3352,Maruti,Vitara,1,12000,Petrol,Automatic,18.76,1462,103.26,5,2,1225000
3353,Hyundai,i20,4,25000,Diesel,Manual,21.19,1396,88.73,5,1,771000
3354,Ford,Figo,11,60000,Diesel,Manual,20.0,1399,68.0,5,1,250000
3356,Hyundai,Verna,7,77000,Diesel,Manual,22.32,1582,126.3,5,1,485000
3357,Maruti,Ciaz,5,22000,Petrol,Manual,20.73,1373,91.1,5,2,715000
3358,Maruti,Wagon R,9,65000,Petrol,Manual,18.9,998,67.1,5,1,265000
3359,Skoda,Rapid,9,74000,Diesel,Manual,20.5,1598,103.5,5,2,385000
3360,Maruti,Swift Dzire,6,79159,Diesel,Manual,26.59,1248,74.0,5,2,675000
3362,Maruti,Wagon R,9,84000,Petrol,Manual,18.9,998,67.1,5,1,215000
3363,Hyundai,i20,5,70000,Petrol,Manual,18.6,1197,81.83,5,2,510000
3364,Maruti,Celerio,2,20000,Petrol,Automatic,23.1,998,67.04,5,1,520000
3365,Volkswagen,Polo,4,18171,Petrol,Manual,16.2,1199,74.0,5,1,598000
3368,Maruti,Swift Dzire,3,22000,Petrol,Automatic,21.21,1197,81.8,5,2,795000
3369,Hyundai,Santro,11,40000,Petrol,Manual,17.92,1086,62.1,5,1,210000
3370,Maruti,Alto,11,40000,Petrol,Manual,20.92,998,67.1,5,3,250000
3371,Hyundai,i20,9,79330,Petrol,Manual,17.0,1197,80.0,5,3,375000
3372,Volkswagen,Vento,9,77000,Diesel,Manual,20.54,1598,103.6,5,2,425000
3373,Mahindra,Bolero,1,12000,Diesel,Manual,21.0,1498,74.96,7,2,800000
3374,Hyundai,i10,9,24750,Petrol,Manual,20.36,1197,78.9,5,1,300000
3375,Hyundai,i20,6,35000,Petrol,Manual,18.6,1197,81.83,5,2,550000
3376,Maruti,Swift Dzire,3,80000,Diesel,Manual,28.4,1248,74.02,5,2,750000
3378,Maruti,Ertiga,3,24000,Petrol,Manual,19.34,1462,103.0,7,2,875000
3380,Volkswagen,Vento,8,120000,Petrol,Manual,15.04,1598,103.6,5,3,400000
3381,Honda,City,13,90046,Petrol,Manual,17.7,1497,78.0,5,2,185000
3382,Ford,Figo,10,49000,Petrol,Manual,15.6,1196,70.0,5,3,215000
3383,Honda,Amaze,3,12000,Petrol,Manual,17.8,1198,86.7,5,2,645000
3384,Renault,Duster,7,75000,Diesel,Manual,19.87,1461,83.8,5,1,585000
3386,Mahindra,Bolero,5,62257,Diesel,Manual,21.0,1498,74.96,7,2,680000
3387,Maruti,Vitara,4,70000,Diesel,Manual,24.3,1248,88.5,5,1,750000
3389,Maruti,Swift Dzire,9,70000,Petrol,Manual,17.5,1298,85.8,5,1,370000
3390,Maruti,Swift,8,52000,Petrol,Manual,22.0,1197,81.8,5,2,450000
3391,Honda,Jazz,4,10000,Petrol,Manual,18.7,1199,88.7,5,2,650000
3392,Maruti,Swift Dzire,4,60000,Diesel,Automatic,28.4,1248,74.02,5,1,750000
3393,Maruti,Ertiga,4,19000,Diesel,Manual,24.52,1248,88.5,7,1,895000
3394,Maruti,Swift Dzire,6,38700,Diesel,Manual,26.59,1248,74.0,5,1,720000
3395,Maruti,Swift Dzire,7,55000,Petrol,Manual,20.85,1197,83.14,5,2,500000
3396,Honda,WR-V,4,41632,Diesel,Manual,25.5,1498,98.6,5,2,745000
3398,Hyundai,i20,5,17749,Petrol,Manual,18.6,1197,81.83,5,1,549000
3399,Maruti,Baleno,3,18000,Petrol,Manual,21.4,1197,83.1,5,1,750000
3400,Hyundai,Verna,6,25000,Petrol,Manual,17.43,1396,105.5,5,1,500000
3401,Volkswagen,Polo,6,54985,Petrol,Manual,16.2,1199,74.0,5,2,480000
3402,Ford,Ecosport,3,31668,Petrol,Automatic,14.8,1497,121.36,5,2,935000
3403,Datsun,RediGO,3,16500,Petrol,Manual,22.7,799,53.64,5,1,290000
3406,Ford,Figo,5,25000,Petrol,Automatic,17.01,1499,110.4,5,2,600000
3407,Maruti,Wagon R,7,84000,Petrol,Manual,20.51,998,67.04,5,1,350000
3408,Honda,WR-V,3,19000,Petrol,Manual,17.5,1199,88.7,5,2,825000
3409,Hyundai,Grand,7,38000,Petrol,Manual,18.9,1197,82.0,5,1,430000
3411,Hyundai,Verna,8,48000,Petrol,Automatic,17.01,1591,121.4,5,1,490000
3412,Maruti,Baleno,3,34000,Diesel,Manual,27.39,1248,74.0,5,2,850000
3413,Renault,KWID,3,9800,Petrol,Automatic,24.04,999,67.0,5,1,415000
3414,Maruti,Swift Dzire,3,30000,Diesel,Manual,28.4,1248,74.02,5,1,868000
3415,Hyundai,Grand,6,88500,Petrol,Manual,18.9,1197,82.0,5,1,445000
3416,Volkswagen,Vento,8,58212,Petrol,Manual,15.04,1598,103.6,5,2,400000
3418,Hyundai,i10,11,84000,Petrol,Automatic,19.2,1197,80.0,5,2,270000
3419,Hyundai,i20,8,55000,Petrol,Manual,18.5,1197,82.85,5,3,450000
3422,Hyundai,Verna,2,14200,Petrol,Manual,17.0,1591,121.3,5,2,975000
3423,Hyundai,i10,11,72000,Petrol,Manual,20.36,1197,78.9,5,1,211000
3426,Maruti,Baleno,5,72000,Petrol,Manual,21.4,1197,83.1,5,1,630000
3427,Honda,City,2,2600,Petrol,Automatic,17.4,1497,117.6,5,1,1400000
3428,Skoda,Rapid,8,77300,Diesel,Manual,21.14,1498,103.52,5,1,475000
3429,Hyundai,Verna,9,58000,Petrol,Manual,17.01,1591,121.3,5,2,399000
3430,Maruti,Alto,6,66000,Petrol,Automatic,23.95,998,67.05,5,2,325000
3431,Maruti,Wagon R,9,50000,Petrol,Manual,18.9,998,67.1,5,2,250000
3432,Maruti,Swift,2,14500,Petrol,Automatic,22.0,1197,81.8,5,2,720000
3433,Maruti,Ertiga,5,48805,Diesel,Manual,24.52,1248,88.5,7,1,390000
3434,Hyundai,i20,8,37000,Petrol,Manual,18.5,1197,82.9,5,1,395000
3435,Maruti,Wagon R,7,40000,Petrol,Manual,20.51,998,67.04,5,2,400000
3436,BMW,3,12,114000,Petrol,Automatic,12.05,1995,154.0,5,2,650000
3437,Maruti,Swift,8,108000,Diesel,Manual,22.9,1248,74.0,5,3,485000
3438,Honda,Jazz,3,31909,Petrol,Manual,18.7,1199,88.7,5,2,615000
3439,Maruti,Swift,9,80000,Diesel,Manual,28.4,1248,74.0,5,1,425000
3441,Maruti,Ciaz,5,58400,Diesel,Manual,28.09,1248,88.5,5,2,728000
3442,Hyundai,Grand,3,9800,Diesel,Manual,24.0,1186,73.97,5,1,685000
3443,Hyundai,Verna,12,70000,Diesel,Manual,16.8,1493,110.0,5,1,255000
3444,Skoda,Superb,10,20000,Diesel,Automatic,17.2,1968,138.1,5,3,700000
3447,Maruti,Vitara,3,20572,Diesel,Automatic,24.3,1248,88.5,5,3,950000
3448,Maruti,Swift,5,37000,Diesel,Manual,25.2,1248,74.0,5,1,675000
3449,Maruti,Ertiga,5,72447,Diesel,Manual,24.52,1248,88.5,7,1,850000
3451,Maruti,Wagon R,5,39000,Petrol,Manual,20.51,998,67.04,5,2,420000
3453,Datsun,GO,4,40000,Petrol,Manual,19.44,1198,67.0,7,2,430000
3454,Ford,Ecosport,7,86000,Diesel,Manual,22.7,1498,89.84,5,1,550000
3455,Maruti,Swift,10,32000,Petrol,Manual,18.6,1197,85.8,5,2,350000
3457,Hyundai,i20,8,14258,Petrol,Manual,18.6,1197,81.83,5,2,445000
3458,Renault,KWID,4,17000,Petrol,Automatic,24.04,999,67.0,5,2,385000
3459,Volkswagen,Vento,8,83469,Diesel,Manual,20.34,1498,103.2,5,1,485000
3460,Datsun,GO,4,40000,Petrol,Manual,20.63,1198,67.06,5,2,335000
3462,Maruti,Swift,3,20000,Petrol,Manual,22.0,1197,81.8,5,1,587000
3463,Maruti,Celerio,6,80000,Petrol,Manual,23.1,998,67.04,5,1,450000
3465,Renault,KWID,2,10695,Petrol,Manual,23.01,999,67.0,5,1,395000
3466,Maruti,Vitara,3,35000,Diesel,Manual,24.3,1248,88.5,5,1,810000
3470,Skoda,Rapid,9,67000,Diesel,Manual,20.5,1598,103.5,5,1,325000
3471,Maruti,Ciaz,6,53698,Diesel,Manual,28.09,1248,88.5,5,2,675000
3474,Toyota,Yaris,3,16000,Petrol,Automatic,18.1,1496,105.94,5,2,950000
3475,Maruti,Eeco,7,53000,CNG,Manual,21.94,1196,63.0,5,1,395000
3476,Volkswagen,Vento,11,80000,Petrol,Automatic,14.8,1598,105.0,5,2,350000
3477,Hyundai,i20,6,44000,Petrol,Manual,18.6,1197,81.83,5,3,585000
3479,Hyundai,Verna,3,35522,Diesel,Manual,22.0,1582,126.2,5,2,885000
3480,Honda,City,7,65000,Diesel,Manual,26.0,1498,98.6,5,1,745000
3481,Maruti,Wagon R,4,24000,Petrol,Manual,20.51,998,67.04,5,2,450000
3482,Hyundai,Verna,4,46000,Diesel,Manual,24.8,1396,88.7,5,1,765000
3483,Hyundai,i20,3,54695,Diesel,Manual,21.19,1396,88.73,5,1,790000
3484,Skoda,Superb,11,55000,Petrol,Automatic,13.7,1798,157.75,5,1,345000
3485,Maruti,Baleno,3,38340,Diesel,Manual,27.39,1248,74.0,5,3,790000
3486,Maruti,Swift,8,27000,Diesel,Manual,22.9,1248,74.0,5,1,450000
3487,Maruti,Ertiga,7,69000,CNG,Manual,22.8,1373,80.9,7,2,615000
3488,Hyundai,i10,9,66500,Petrol,Manual,19.81,1086,68.05,5,2,260000
3489,Honda,City,5,27266,Petrol,Manual,17.4,1497,117.3,5,2,685000
3490,Jeep,Compass,4,25216,Petrol,Automatic,16.0,1368,160.0,5,1,1450000
3491,Hyundai,i10,5,50000,Petrol,Manual,19.81,1086,68.05,5,1,428000
3492,Mahindra,KUV,5,21000,Petrol,Manual,18.15,1198,82.0,6,1,400000
3494,Maruti,Ciaz,4,68000,Diesel,Manual,28.09,1248,88.5,5,2,750000
3496,Honda,Jazz,4,27826,Petrol,Automatic,19.0,1199,88.7,5,2,725000
3497,Honda,WR-V,3,19000,Petrol,Manual,17.5,1199,88.7,5,1,795000
3499,Skoda,Superb,10,83000,Diesel,Automatic,17.2,1968,138.1,5,2,675000
3500,Maruti,Swift,7,35734,Petrol,Manual,21.21,1197,81.8,5,2,440000
3501,Honda,Jazz,6,50000,Petrol,Automatic,19.0,1199,88.7,5,2,575000
3502,Maruti,Alto,10,80000,Petrol,Manual,20.92,998,67.1,5,2,250000
3503,Hyundai,i20,5,57000,Diesel,Manual,22.54,1396,88.73,5,2,650000
3505,Maruti,Swift Dzire,8,90000,Diesel,Manual,23.4,1248,74.0,5,2,500000
3506,Hyundai,Grand,3,28000,Petrol,Manual,18.9,1197,81.86,5,2,480000
3507,Maruti,Wagon R,5,49000,CNG,Manual,26.6,998,58.16,5,1,365000
3509,Skoda,Rapid,5,90000,Diesel,Automatic,21.66,1498,103.52,5,1,550000
3510,Hyundai,i20,11,102000,Diesel,Manual,21.9,1396,90.0,5,1,300000
3511,Maruti,Swift,2,25000,Diesel,Manual,25.2,1248,74.0,5,3,700000
3512,BMW,3,11,97547,Diesel,Automatic,16.07,1995,181.0,5,1,825000
3513,Honda,City,6,40864,Petrol,Manual,17.4,1497,117.3,5,3,579000
3514,Maruti,Wagon R,9,51000,Petrol,Manual,18.9,998,67.1,5,2,200000
3515,Maruti,Wagon R,3,36274,CNG,Manual,26.6,998,58.16,5,2,455000
3516,Volkswagen,Polo,7,39000,Petrol,Automatic,17.21,1197,103.6,5,1,565000
3517,Maruti,Wagon R,10,50000,Petrol,Manual,20.51,998,67.04,5,2,275000
3518,Honda,Jazz,5,15000,Petrol,Manual,18.7,1199,88.7,5,2,500000
3520,Renault,KWID,5,50700,Petrol,Manual,23.01,999,67.0,5,1,340000
3521,Tata,Tiago,2,40000,Diesel,Manual,27.28,1047,69.0,5,1,665000
3522,Datsun,RediGO,5,79000,Petrol,Manual,22.7,799,53.64,5,1,235000
3523,Maruti,Ertiga,9,67235,Diesel,Manual,25.47,1248,88.5,7,1,610000
3524,Maruti,Swift Dzire,7,115000,Diesel,Manual,23.4,1248,74.0,5,2,521000
3525,Volkswagen,Vento,6,56000,Petrol,Automatic,18.19,1197,103.2,5,2,615000
3526,Hyundai,i20,3,70000,Diesel,Manual,22.54,1396,88.73,5,2,920000
3528,Ford,Ecosport,8,69141,Diesel,Manual,22.7,1498,89.84,5,1,525000
3530,Maruti,Ciaz,5,35701,Petrol,Manual,20.73,1373,91.1,5,1,645000
3533,Honda,City,5,19000,Petrol,Automatic,18.0,1497,117.3,5,3,820000
3534,Datsun,RediGO,4,75000,Petrol,Manual,22.7,799,53.0,5,1,285000
3535,Jeep,Compass,3,9800,Petrol,Manual,16.0,1368,160.0,5,1,1325000
3536,Maruti,Wagon R,4,37000,CNG,Manual,26.6,998,58.16,5,1,415000
3537,Maruti,Swift Dzire,7,82500,Diesel,Manual,23.4,1248,74.0,5,1,425000
3538,Maruti,Ciaz,5,33582,Petrol,Automatic,19.12,1373,91.1,5,2,740000
3539,Skoda,Octavia,6,41000,Diesel,Automatic,19.3,1968,141.0,5,1,1110000
3540,Maruti,Ertiga,4,24000,Petrol,Manual,19.01,1462,103.26,7,2,825000
3541,Tata,Nexon,3,60000,Diesel,Manual,21.5,1497,108.5,5,1,725000
3543,Honda,City,6,29675,Petrol,Automatic,18.0,1497,117.3,5,2,795000
3544,Maruti,Celerio,5,14286,Petrol,Manual,23.1,998,67.04,5,2,395000
3545,Hyundai,i20,3,40000,Diesel,Manual,21.9,1396,88.76,5,1,739000
3548,Maruti,Swift Dzire,8,40000,Petrol,Manual,19.1,1197,85.8,5,2,400000
3549,Maruti,Swift,10,53000,Diesel,Manual,22.9,1248,74.0,5,2,395000
3550,Maruti,Alto,3,23150,Petrol,Automatic,23.95,998,67.1,5,2,394000
3551,Mahindra,Marazzo,3,15001,Diesel,Manual,17.3,1497,121.0,7,1,1375000
3554,Tata,Tiago,3,32400,Petrol,Automatic,23.84,1199,83.83,5,1,500000
3555,Maruti,Swift,5,61000,Diesel,Manual,28.4,1248,74.0,5,1,590000
3556,Maruti,Eeco,7,41600,Petrol,Manual,15.37,1196,73.0,7,1,321000
3557,Maruti,Wagon R,11,48300,Petrol,Manual,18.9,998,67.1,5,2,240000
3558,Maruti,Swift Dzire,2,5000,Petrol,Manual,21.21,1197,81.8,5,3,745000
3560,Maruti,Swift,6,18056,Petrol,Manual,20.4,1197,83.11,5,2,460000
3563,Volkswagen,Polo,7,73000,Petrol,Manual,16.47,1198,74.0,5,1,445000
3570,Hyundai,i20,8,37900,Diesel,Manual,21.9,1396,88.8,5,1,435000
3572,Maruti,Baleno,5,14550,Petrol,Manual,21.4,1197,83.1,5,2,559000
3573,Maruti,Ertiga,5,41000,CNG,Manual,17.5,1373,80.46,7,1,780000
3574,Maruti,Ertiga,6,78286,CNG,Manual,22.8,1373,80.9,7,1,650000
3576,Hyundai,Verna,3,16443,Petrol,Manual,19.1,1368,98.6,5,2,770000
3577,Honda,City,2,10000,Petrol,Automatic,18.0,1497,117.6,5,1,1150000
3578,Maruti,Wagon R,8,39757,Petrol,Manual,20.51,998,67.04,5,1,298000
3579,Maruti,Vitara,3,61000,Diesel,Manual,24.3,1248,88.5,5,2,1025000
3581,Maruti,Swift Dzire,6,50000,Petrol,Manual,17.5,1298,85.8,5,2,460000
